
Status  Name                                                   DisplayName                                                                       
------  ----                                                   -----------                                                                       
Running PimIndexMaintenanceSvc_91113                           Contact Data_91113                                                                
Running PlugPlay                                               Plug and Play                                                                     
Running hns                                                    Host Network Service                                                              
Running hidserv                                                Human Interface Device Service                                                    
Running VMUSBArbService                                        VMware USB Arbitration Service                                                    
Running FontCache3.0.0.0                                       Windows Presentation Foundation Font Cache 3.0.0.0                                
Running gpsvc                                                  Group Policy Client                                                               
Running VMnetDHCP                                              VMware DHCP Service                                                               
Running SystemEventsBroker                                     System Events Broker                                                              
Running igfxCUIService2.0.0.0                                  Intel(R) HD Graphics Control Panel Service                                        
Running TabletInputService                                     Touch Keyboard and Handwriting Panel Service                                      
Running InstallService                                         Microsoft Store Install Service                                                   
Running hoststoragesvc                                         Credential Vault Host Storage                                                     
Running PhoneSvc                                               Phone Service                                                                     
Running SysMain                                                SysMain                                                                           
Running HvHost                                                 HV Host Service                                                                   
Running ProfSvc                                                User Profile Service                                                              
Running EFS                                                    Encrypting File System (EFS)                                                      
Running esifsvc                                                Intel(R) Dynamic Tuning service                                                   
Running SstpSvc                                                Secure Socket Tunneling Protocol Service                                          
Running DusmSvc                                                Data Usage                                                                        
Running DsSvc                                                  Data Sharing Service                                                              
Running Wcmsvc                                                 Windows Connection Manager                                                        
Running SSDPSRV                                                SSDP Discovery                                                                    
Running VMwareHostd                                            VMware Workstation Server                                                         
Running StorSvc                                                Storage Service                                                                   
Running FontCache                                              Windows Font Cache Service                                                        
Running VMware NAT Service                                     VMware NAT Service                                                                
Running EventSystem                                            COM+ Event System                                                                 
Running EventLog                                               Windows Event Log                                                                 
Running Power                                                  Power                                                                             
Running StateRepository                                        State Repository Service                                                          
Running Intel(R) TPM Provisioning Service                      Intel(R) TPM Provisioning Service                                                 
Running UnistoreSvc_91113                                      User Data Storage_91113                                                           
Running mpssvc                                                 Windows Defender Firewall                                                         
Running nsi                                                    Network Store Interface Service                                                   
Running nvagent                                                Network Virtualization Service                                                    
Running UserManager                                            User Manager                                                                      
